Peter Quartaroli	English
Jalaja	Malayalam
Murali	Malayalam
Eita	Japanese
Juri Ueno	Japanese
Kuranosuke Sasaki	Japanese
Nirupa Roy	Hindi
Manoj Kumar	Hindi
Saira Banu	Hindi
Vinod Khanna	Hindi
Rajendra Nath	Hindi
Kamini Kaushal	Hindi
Manmohan	Hindi
Krishan Dhawan	Hindi
Joginder Shelly	Hindi
Dorothy Burgess	English
Monte Blue	English
Yuri Lowenthal	English
Michael McConnohie	Japanese
Mike McFarland	Korean
Megan Hollingshead	English
Bruce Willis	English
Madeleine Stowe	English
Brad Pitt	English
David Morse	English
Christopher Meloni	English
Jon Seda	English
Rick Warner	English
Michael Chance	English
Joss Stone	English
Massimo Girotti	Italian
Whitney Cummings	English
Adam Leese	English
George Calil	English
Guy Henry	English
Tom Hardy	English
Gil Bellows	English
Anthony Azizi	English
Kate Buffery	English
Ross McCall	English
Kevin Christy	English
Jeremy Edwards	English
Robert Fieldsteel	English
James L. Avery, Sr.	English
Michael Berryman	English
David Carrera	English
Carl Ciarfalio	English
Lawrence Dobkin	English
Steve Donmyer	English
Richard L. Duran	English
James Patten Eagle	English
John Fifer	English
Doug Franklin	English
Kyle Fredericks	English
Gordon Greene	English
Kari Wührer	English
Marc Singer	English
Wings Hauser	English
Gemini Ganesan	Tamil
Kamal Haasan	Tamil
David Crouch	English
Lucinda May	English
Asrani	Hindi
Premnath	Hindi
Bindiya Goswami	Hindi
Bindu	Hindi
Jagdeep	Hindi
Keshto Mukherjee	Hindi
Paintal	Hindi
Yuzuru Fujimoto	English
Toshiyuki Morikawa	Japanese
Hideyuki Tanaka	Japanese
Yumi Tōma	Japanese
Hiroko Emori	English
Omi Minami	Japanese
Masaharu Satō	Japanese
Hirohiko Kakegawa	English
Isshin Chiba	Japanese
Lillian Gish	English
Mallika Sherawat	Hindi
Anna Hagan	English
Myriam Sirois	English
Sarah Chalke	English
Andrew Johnston	English
Nalia Rukavina	English
Crystal Verge	English
John Dadey	English
Holly Marie Combs	English
Lesley Ewen	English
Colleen Winton	English
Jim Thorburn	English
Jane MacDougall	English
Michael Buie	English
Rick Ravanello	English
Peter Yunker	English
Tracey Lively	English
Roxanne Hart	English
Bob Osborne	English
Linda Thorson	English
Steven Weber	English
William Hickey	English
Joseph May	English
Milla Jovovich	English
Michelle Rodriguez	English
Eric Mabius	English
James Purefoy	English
Colin Salmon	English
Martin Crewes	English
Heike Makatsch	English
Marisol Nichols	English
Michaela Dicker	English
Paul Henreid	English
John Sutton	English
Jeff Donnell	English
Lon Chaney, Jr.	English
Elena Verdugo	English
Helen Gilbert	English
Robert Clary	English
Edward Colmans	English
Nelson Leigh	English
Philip Van Zandt	English
Chiranjeevi	Telugu language
Sonam	Hindi
Jayanthi	Telugu language
Stephen Chow	Cantonese
Dick Wei	Cantonese
Nina Li Chi	Cantonese
Jet Li	Cantonese
Robert Urich	English
Ebbe Langberg	Danish
Ambika	Tamil
Sarath Babu	Tamil
Vijaykanth	Tamil
